image_name,ground_truth,svm_preds,nn_preds,nn_score_0,nn_score_1,nn_score_2,nn_score_3,nn_score_4,top_2_difference_under_0.02
0.jpg,0,0,0,1.0,4.537594e-39,3.1154848e-19,0.0008511146,3.1649652e-29,False
1.jpg,3,3,3,2.1517637e-07,0.0,1.3508867e-17,0.9999993,6.3385254e-36,False
10.jpg,2,2,2,2.803235e-13,0.0,1.0,8.9609736e-11,0.0,False
100.jpg,2,3,2,3.219035e-32,1.9235742e-06,0.06868736,1.5933191e-17,2.5759075e-29,False
1000.jpg,4,0,0,1.0,4.7299105e-36,9.92883e-26,2.3084154e-11,8.0609795e-32,False
1000.jpg,4,3,0,1.0,2.1625363e-31,0.0,0.9979571,7.0259406e-35,True
1001.jpg,4,3,3,1.6047642e-11,0.0,6.8912005e-21,9.792692e-09,8.0749526e-32,True
1001.jpg,4,3,2,5.147631e-26,2.4652574e-26,0.10027624,3.868466e-14,1.4359823e-33,False
1002.jpg,4,3,3,2.1628298e-19,5.210697e-25,4.7230843e-18,4.8440207e-08,3.5102723e-26,True
1002.jpg,4,2,3,3.5692444e-23,1.2852649e-38,3.4601342e-06,0.086925685,1.8867176e-29,False
1003.jpg,1,4,1,4.3172695e-16,6.752905e-08,3.7353682e-26,3.5998098e-13,3.1455109e-24,True
1003.jpg,4,3,1,4.3652114e-31,2.0201445e-05,0.0,5.249782e-10,3.214484e-31,True
1004.jpg,4,4,3,5.4977073e-21,0.0,0.0,5.2251924e-08,2.115312e-31,True
1005.jpg,1,4,3,0.0,3.489476e-31,3.950334e-34,0.2386174,2.5142576e-31,False
1005.jpg,4,1,1,2.3961176e-19,1.0,1.0073529e-19,2.6674817e-18,4.002561e-26,False
1006.jpg,4,3,1,0.0,1.4351608e-05,1.5536116e-15,7.875821e-06,8.9326275e-34,True
1007.jpg,4,4,0,1.7444087e-15,1.9919244e-32,1.4663214e-27,5.601379e-34,2.9622413e-28,True
1008.jpg,2,3,2,4.1715294e-13,1.9642702e-31,0.9958619,5.7198555e-05,3.3066945e-31,False
1008.jpg,4,4,2,9.4600496e-23,1.3253987e-34,0.9737888,0.027391374,1.504227e-23,False
1008.jpg,4,4,2,9.4600496e-23,1.3253987e-34,0.9737888,0.027391374,1.504227e-23,False
1009.jpg,4,4,0,0.00058829976,0.0,7.771377e-19,0.0003979262,2.125923e-33,True
1009.jpg,4,0,0,0.034258116,0.0,1.4111858e-35,8.226851e-14,2.5896164e-33,False
1009.jpg,4,3,3,3.4924297e-10,0.0,1.2568092e-16,0.05933218,1.1253746e-27,False
101.jpg,2,2,2,2.3120359e-20,7.7192363e-32,0.9999871,5.515577e-05,1.1714845e-30,False
1010.jpg,4,3,1,2.9660548e-26,3.5769444e-16,2.503994e-18,1.0358347e-19,0.0,True
1011.jpg,0,0,0,1.0,1.1063107e-33,5.8165446e-18,3.1854919e-09,5.0228275e-33,False
1011.jpg,4,4,3,0.0,9.247854e-31,0.0,0.0043156142,1.5829648e-33,True
1012.jpg,0,0,0,1.0,0.0,4.650975e-19,0.00019023422,3.8328742e-33,False
1012.jpg,4,2,2,5.9689115e-21,1.9521028e-15,0.26946265,2.4413658e-14,7.6064053e-32,False
